query_id,query,gold_hotel_id,expected_wrong_hotel_id,violating_hotel_ids,constraint_type,adversarial_terms,gold_evidence,violating_evidence
hotel_adv_001,"I need a budget hotel in New York that is clean and safe, without cockroaches, roaches, or dirty bathrooms.",217627,121981,121981;649058,negation+exclusion,without cockroaches;roaches;dirty bathrooms,"217627 reviews say the bathroom was brand new, clean and well lighted; the neighborhood was safe; rooms/bathrooms were really clean; one review says NO bedbugs.",121981 contains 'mildew and pubic hair' in the bathroom; 649058 contains cockroach complaints.
hotel_adv_002,"I need a Manhattan hotel with clean bathrooms, without mildew or pubic hair in the bathroom.",217627,121981,121981,negation+exclusion,without mildew;pubic hair;bathroom,"217627 reviews mention a brand new, clean bathroom and repeatedly describe the facility as clean.",121981 has a review saying the bathroom had lots of mildew and pubic hair.
hotel_adv_003,"I need a hotel for sleep that is quiet, without loud noise, door slamming, or noisy hallways.",247108,107856,107856,negation+antonym,without loud noise;door slamming;noisy hallways,247108 says traffic noise was not a major problem and that weekends are usually pretty quiet after staff controlled hallway running/jumping.,"107856 says teenagers were noisy, slamming doors, running, and very loud; another review says the breakfast buffet was too loud and woke the guest."
hotel_adv_004,"I need a business hotel with reliable internet and WiFi, not a place where the Internet is down or the WiFi does not work.",247108,107856,107856;675842,negation+exclusion,not Internet down;WiFi does not work,247108 says WiFi in the room worked fine and the business center computers/printers worked.,107856 says the Internet was down; 675842 reports trouble connecting to the Internet that staff could not solve.
hotel_adv_005,"I need a business hotel with computers and printers that work, not one with computers not working or an occupied business center.",247108,286988,286988;675842,negation+exclusion,computers not working;occupied business center,247108 says computers and printers in the business center all worked.,286988 says computers were not always working; 675842 says a family was using all three business-center computers when the guest needed one.
hotel_adv_006,"I need a clean hotel with no roaches or cockroaches, where the rooms are immaculate and spotless.",675842,107856,107856;649058,negation+exclusion,no roaches;cockroaches,"675842 reviews describe the public areas as immaculate, the room as very clean, and the rooms as SUPER clean.",107856 reports one of the biggest roaches the reviewer had ever seen; 649058 reports cockroaches every night and morning.
hotel_adv_007,"I need a spacious suite for a family, not a tiny, cramped, or very small room.",1200768,286988,286988;217627;121981,negation+antonym,not tiny;cramped;small room,1200768 says the rooms are all suites with a living room and bedroom area and that there is no problem cramming five people in a room.,286988 says a one-bedroom unit felt cramped and the breakfast/common area was crowded; 217627 and 121981 repeatedly describe tiny or very small rooms.
hotel_adv_008,"I need helpful and polite hotel staff, not rude or unprofessional front desk service.",2154898,1200768,1200768;107856,negation+antonym,not rude;unprofessional front desk,"2154898 reviews describe amazing service, accommodating staff, extraordinary care, and staff who treat guests very well.",1200768 says the front staff was not very friendly or helpful and another review says staff were rude about late checkout; 107856 describes curt/security/front-desk problems.
hotel_adv_009,"I need a hotel with free breakfast included, not one that charges ten dollars or has a breakfast surcharge.",91577,247108,247108;1200768,negation+exclusion,not charges;breakfast surcharge,91577 reviews mention free hot breakfast and adequate/free full breakfast.,247108 says breakfast was offered for a surcharge; 1200768 says breakfast cost about $10 per person.
hotel_adv_010,"I need a hotel with free parking, not an expensive parking charge or high daily parking fee.",247108,91577,91577;2154898,negation+exclusion,not expensive parking charge;daily parking fee,"247108 says complimentary WiFi, coffee, and parking were included in the price.",91577 mentions a $17 parking charge; 2154898 mentions parking is $35 per day.
hotel_adv_011,"I need a clean modern business hotel with good maintenance, not broken shower doors, sharp furniture, or shabby construction.",247108,675842,675842,negation+exclusion,not broken;sharp furniture;shabby construction,"247108 reviews describe the hotel as new, clean, well-cared-for, and suitable for business travel.","675842 reports broken, dangerously sharp shower doors, sharp night-table corners, and shabby construction."
hotel_adv_012,"I need a hotel with a good breakfast, not a limited or awful breakfast experience.",286988,107856,107856;121981,negation+antonym,not limited;awful breakfast,"286988 reviews call the breakfast excellent and one of the best motel breakfasts, with many hot and cold options.",107856 says the breakfast was very limited and awful; 121981 notes no hotel breakfast or limited breakfast context.
hotel_adv_013,"I need a clean affordable Manhattan hotel without shared-bathroom problems, dirty shared bathrooms, or long waits for bathrooms.",217627,121981,121981;649058,negation+exclusion,without shared-bathroom problems;dirty shared bathrooms;long waits,"217627 says bathrooms were clean, and one review says shared bathrooms had four on the floor with no problems getting into one.",121981 discusses shared bathrooms plus mildew/pubic hair; 649058 has shared-bathroom and no-hot-water complaints.
hotel_adv_014,"I need a hotel with fast, stable WiFi in the room, not spotty WiFi or no wireless internet.",247108,91577,91577;286988,negation+antonym,not spotty WiFi;no wireless internet,247108 says WiFi in the room worked fine.,91577 mentions spotty Wi-Fi service; 286988 mentions no wireless internet.
hotel_adv_015,"I need a hotel with friendly service, not security staring into my room or curt front desk behavior.",2154898,107856,107856,negation+exclusion,not security staring;curt front desk,"2154898 reviews emphasize amazing service, personal attention, courteous concierge staff, and conscientious employees.","107856 describes a security person staring into the room and acting curtly, along with front-desk frustration."
hotel_adv_016,"I need a quiet place for a weekend, not a hotel full of teenagers, slamming doors, or loud parents in hallways.",247108,107856,107856,negation+exclusion,not teenagers;slamming doors;loud parents,247108 says weekends are usually pretty quiet and that staff stopped hallway running and jumping during a tournament stay.,"107856 reports teenagers on the floor being noisy, slamming doors, running, and very loud."
hotel_adv_017,"I need a hotel with a spacious dining or breakfast area, not a cramped and crowded breakfast area.",1200768,286988,286988,negation+antonym,not cramped;crowded breakfast area,1200768 says the breakfast was very good and the dining area was spacious.,286988 says the common breakfast area in the lobby was cramped and crowded.
hotel_adv_018,I need a hotel with working facilities and no broken room fixtures or low-quality shower doors.,247108,675842,675842,negation+exclusion,no broken fixtures;low-quality shower doors,"247108 describes a very nice, well-cared-for property and working business-center facilities.","675842 reports broken, low-quality sliding glass shower doors that were coming apart."
hotel_adv_019,"I need a clean hotel without filthy tables, dirty bathrooms, or pubic hair.",675842,121981,121981;1200768,negation+exclusion,without filthy tables;dirty bathrooms;pubic hair,"675842 reviews repeatedly describe rooms/public areas as clean, SUPER clean, immaculate, and modern.",121981 reports mildew and pubic hair in bathrooms; 1200768 reports filthy breakfast tables.
hotel_adv_020,"I need a hotel with airport shuttle service, not a place where airport transportation fails or the arranged car service does not show up.",675842,2154898,2154898,negation+exclusion,transportation fails;car service does not show up,675842 says the shuttle from the airport was very quick and the drivers were excellent both ways.,2154898 says the car service arranged by the hotel did not show up and the guests waited around at LAX for an hour.
