query-id	corpus-id	score
nevir_q_1-2_1	nevir_doc_1-2_1	1
nevir_q_10-3_2	nevir_doc_10-3_2	1
nevir_q_100-2_1	nevir_doc_100-2_1	1
nevir_q_100-3_1	nevir_doc_100-3_1	1
nevir_q_101-3_2	nevir_doc_101-3_2	1
nevir_q_102-3_1	nevir_doc_102-3_1	1
nevir_q_1024-2_1	nevir_doc_1024-2_1	1
nevir_q_1024-3_1	nevir_doc_1024-3_1	1
nevir_q_104-3_1	nevir_doc_104-3_1	1
nevir_q_105-2_1	nevir_doc_105-2_1	1
nevir_q_105-3_2	nevir_doc_105-3_2	1
nevir_q_106-2_1	nevir_doc_106-2_1	1
nevir_q_107-3_1	nevir_doc_107-3_1	1
nevir_q_107-3_2	nevir_doc_107-3_2	1
nevir_q_108-3_2	nevir_doc_108-3_2	1
nevir_q_109-2_2	nevir_doc_109-2_2	1
nevir_q_109-3_2	nevir_doc_109-3_2	1
nevir_q_11-2_1	nevir_doc_11-2_1	1
nevir_q_11-3_2	nevir_doc_11-3_2	1
nevir_q_111-2_1	nevir_doc_111-2_1	1
nevir_q_112-2_2	nevir_doc_112-2_2	1
nevir_q_113-2_2	nevir_doc_113-2_2	1
nevir_q_114-2_2	nevir_doc_114-2_2	1
nevir_q_114-3_2	nevir_doc_114-3_2	1
nevir_q_1140-2_2	nevir_doc_1140-2_2	1
nevir_q_115-3_1	nevir_doc_115-3_1	1
nevir_q_116-2_1	nevir_doc_116-2_1	1
nevir_q_117-2_1	nevir_doc_117-2_1	1
nevir_q_117-3_1	nevir_doc_117-3_1	1
nevir_q_118-2_1	nevir_doc_118-2_1	1
nevir_q_1181-2_1	nevir_doc_1181-2_1	1
nevir_q_1181-3_2	nevir_doc_1181-3_2	1
nevir_q_119-2_1	nevir_doc_119-2_1	1
nevir_q_119-2_2	nevir_doc_119-2_2	1
nevir_q_12-2_2	nevir_doc_12-2_2	1
nevir_q_120-2_1	nevir_doc_120-2_1	1
nevir_q_121-2_1	nevir_doc_121-2_1	1
nevir_q_123-2_2	nevir_doc_123-2_2	1
nevir_q_127-2_2	nevir_doc_127-2_2	1
nevir_q_129-3_2	nevir_doc_129-3_2	1
nevir_q_13-3_2	nevir_doc_13-3_2	1
nevir_q_130-2_1	nevir_doc_130-2_1	1
nevir_q_130-3_1	nevir_doc_130-3_1	1
nevir_q_130-3_2	nevir_doc_130-3_2	1
nevir_q_132-3_2	nevir_doc_132-3_2	1
nevir_q_134-3_1	nevir_doc_134-3_1	1
nevir_q_134-3_2	nevir_doc_134-3_2	1
nevir_q_1343-2_2	nevir_doc_1343-2_2	1
nevir_q_1343-3_2	nevir_doc_1343-3_2	1
nevir_q_135-3_1	nevir_doc_135-3_1	1
nevir_q_138-2_1	nevir_doc_138-2_1	1
nevir_q_138-3_2	nevir_doc_138-3_2	1
nevir_q_14-2_2	nevir_doc_14-2_2	1
nevir_q_141-2_1	nevir_doc_141-2_1	1
nevir_q_141-2_2	nevir_doc_141-2_2	1
nevir_q_142-3_1	nevir_doc_142-3_1	1
nevir_q_149-2_2	nevir_doc_149-2_2	1
nevir_q_15-2_1	nevir_doc_15-2_1	1
nevir_q_150-2_1	nevir_doc_150-2_1	1
nevir_q_151-3_1	nevir_doc_151-3_1	1
nevir_q_152-3_2	nevir_doc_152-3_2	1
nevir_q_154-3_2	nevir_doc_154-3_2	1
nevir_q_156-2_1	nevir_doc_156-2_1	1
nevir_q_158-2_1	nevir_doc_158-2_1	1
nevir_q_158-3_1	nevir_doc_158-3_1	1
nevir_q_159-2_1	nevir_doc_159-2_1	1
nevir_q_162-2_1	nevir_doc_162-2_1	1
nevir_q_164-2_2	nevir_doc_164-2_2	1
nevir_q_165-2_1	nevir_doc_165-2_1	1
nevir_q_165-2_2	nevir_doc_165-2_2	1
nevir_q_167-2_2	nevir_doc_167-2_2	1
nevir_q_167-3_1	nevir_doc_167-3_1	1
nevir_q_168-2_2	nevir_doc_168-2_2	1
nevir_q_170-2_1	nevir_doc_170-2_1	1
nevir_q_173-3_2	nevir_doc_173-3_2	1
nevir_q_179-2_1	nevir_doc_179-2_1	1
nevir_q_18-3_1	nevir_doc_18-3_1	1
nevir_q_180-3_1	nevir_doc_180-3_1	1
nevir_q_181-2_1	nevir_doc_181-2_1	1
nevir_q_181-2_2	nevir_doc_181-2_2	1
nevir_q_182-3_1	nevir_doc_182-3_1	1
nevir_q_182-3_2	nevir_doc_182-3_2	1
nevir_q_184-3_2	nevir_doc_184-3_2	1
nevir_q_186-2_1	nevir_doc_186-2_1	1
nevir_q_187-2_1	nevir_doc_187-2_1	1
nevir_q_187-3_2	nevir_doc_187-3_2	1
nevir_q_188-2_1	nevir_doc_188-2_1	1
nevir_q_188-2_2	nevir_doc_188-2_2	1
nevir_q_19-2_2	nevir_doc_19-2_2	1
nevir_q_19-3_1	nevir_doc_19-3_1	1
nevir_q_190-3_2	nevir_doc_190-3_2	1
nevir_q_191-2_2	nevir_doc_191-2_2	1
nevir_q_193-2_2	nevir_doc_193-2_2	1
nevir_q_193-3_2	nevir_doc_193-3_2	1
nevir_q_195-3_2	nevir_doc_195-3_2	1
nevir_q_196-2_1	nevir_doc_196-2_1	1
nevir_q_196-3_1	nevir_doc_196-3_1	1
nevir_q_196-3_2	nevir_doc_196-3_2	1
nevir_q_197-2_1	nevir_doc_197-2_1	1
nevir_q_197-3_2	nevir_doc_197-3_2	1
nevir_q_2-2_2	nevir_doc_2-2_2	1
nevir_q_200-2_2	nevir_doc_200-2_2	1
nevir_q_201-2_1	nevir_doc_201-2_1	1
nevir_q_204-2_2	nevir_doc_204-2_2	1
nevir_q_205-2_1	nevir_doc_205-2_1	1
nevir_q_205-2_2	nevir_doc_205-2_2	1
nevir_q_207-2_2	nevir_doc_207-2_2	1
nevir_q_207-3_2	nevir_doc_207-3_2	1
nevir_q_209-2_2	nevir_doc_209-2_2	1
nevir_q_21-2_1	nevir_doc_21-2_1	1
nevir_q_21-3_1	nevir_doc_21-3_1	1
nevir_q_21-3_2	nevir_doc_21-3_2	1
nevir_q_210-3_1	nevir_doc_210-3_1	1
nevir_q_212-2_1	nevir_doc_212-2_1	1
nevir_q_212-2_2	nevir_doc_212-2_2	1
nevir_q_214-3_1	nevir_doc_214-3_1	1
nevir_q_215-3_1	nevir_doc_215-3_1	1
nevir_q_219-2_2	nevir_doc_219-2_2	1
nevir_q_222-3_2	nevir_doc_222-3_2	1
nevir_q_224-3_1	nevir_doc_224-3_1	1
nevir_q_224-3_2	nevir_doc_224-3_2	1
nevir_q_228-3_1	nevir_doc_228-3_1	1
nevir_q_23-3_1	nevir_doc_23-3_1	1
nevir_q_230-2_2	nevir_doc_230-2_2	1
nevir_q_230-3_2	nevir_doc_230-3_2	1
nevir_q_231-2_2	nevir_doc_231-2_2	1
nevir_q_232-2_2	nevir_doc_232-2_2	1
nevir_q_232-3_2	nevir_doc_232-3_2	1
nevir_q_234-2_2	nevir_doc_234-2_2	1
nevir_q_234-3_1	nevir_doc_234-3_1	1
nevir_q_236-2_1	nevir_doc_236-2_1	1
nevir_q_238-3_2	nevir_doc_238-3_2	1
nevir_q_239-2_2	nevir_doc_239-2_2	1
nevir_q_240-3_1	nevir_doc_240-3_1	1
nevir_q_242-3_2	nevir_doc_242-3_2	1
nevir_q_243-2_1	nevir_doc_243-2_1	1
nevir_q_243-3_1	nevir_doc_243-3_1	1
nevir_q_249-3_1	nevir_doc_249-3_1	1
nevir_q_250-2_1	nevir_doc_250-2_1	1
nevir_q_250-3_2	nevir_doc_250-3_2	1
nevir_q_251-2_1	nevir_doc_251-2_1	1
nevir_q_252-2_1	nevir_doc_252-2_1	1
nevir_q_252-2_2	nevir_doc_252-2_2	1
nevir_q_252-3_2	nevir_doc_252-3_2	1
nevir_q_253-2_2	nevir_doc_253-2_2	1
nevir_q_255-3_2	nevir_doc_255-3_2	1
nevir_q_256-2_1	nevir_doc_256-2_1	1
nevir_q_256-3_2	nevir_doc_256-3_2	1
nevir_q_259-2_2	nevir_doc_259-2_2	1
nevir_q_26-2_1	nevir_doc_26-2_1	1
nevir_q_26-3_2	nevir_doc_26-3_2	1
nevir_q_260-3_2	nevir_doc_260-3_2	1
nevir_q_261-2_1	nevir_doc_261-2_1	1
nevir_q_262-3_1	nevir_doc_262-3_1	1
nevir_q_262-3_2	nevir_doc_262-3_2	1
nevir_q_264-2_2	nevir_doc_264-2_2	1
nevir_q_267-2_2	nevir_doc_267-2_2	1
nevir_q_267-3_1	nevir_doc_267-3_1	1
nevir_q_269-3_1	nevir_doc_269-3_1	1
nevir_q_270-2_2	nevir_doc_270-2_2	1
nevir_q_270-3_1	nevir_doc_270-3_1	1
nevir_q_273-2_2	nevir_doc_273-2_2	1
nevir_q_274-2_2	nevir_doc_274-2_2	1
nevir_q_275-2_1	nevir_doc_275-2_1	1
nevir_q_275-3_2	nevir_doc_275-3_2	1
nevir_q_278-2_1	nevir_doc_278-2_1	1
nevir_q_279-2_2	nevir_doc_279-2_2	1
nevir_q_28-3_1	nevir_doc_28-3_1	1
nevir_q_28-3_2	nevir_doc_28-3_2	1
nevir_q_281-2_2	nevir_doc_281-2_2	1
nevir_q_282-2_2	nevir_doc_282-2_2	1
nevir_q_283-2_2	nevir_doc_283-2_2	1
nevir_q_286-2_1	nevir_doc_286-2_1	1
nevir_q_286-3_1	nevir_doc_286-3_1	1
nevir_q_287-3_1	nevir_doc_287-3_1	1
nevir_q_287-3_2	nevir_doc_287-3_2	1
nevir_q_288-2_2	nevir_doc_288-2_2	1
nevir_q_289-2_1	nevir_doc_289-2_1	1
nevir_q_289-3_1	nevir_doc_289-3_1	1
nevir_q_290-3_1	nevir_doc_290-3_1	1
nevir_q_292-2_2	nevir_doc_292-2_2	1
nevir_q_292-3_1	nevir_doc_292-3_1	1
nevir_q_293-2_2	nevir_doc_293-2_2	1
nevir_q_294-2_1	nevir_doc_294-2_1	1
nevir_q_294-3_1	nevir_doc_294-3_1	1
nevir_q_296-2_2	nevir_doc_296-2_2	1
nevir_q_297-2_1	nevir_doc_297-2_1	1
nevir_q_297-3_1	nevir_doc_297-3_1	1
nevir_q_297-3_2	nevir_doc_297-3_2	1
nevir_q_3-3_1	nevir_doc_3-3_1	1
nevir_q_30-3_2	nevir_doc_30-3_2	1
nevir_q_300-2_2	nevir_doc_300-2_2	1
nevir_q_301-2_1	nevir_doc_301-2_1	1
nevir_q_302-2_1	nevir_doc_302-2_1	1
nevir_q_302-3_1	nevir_doc_302-3_1	1
nevir_q_304-3_1	nevir_doc_304-3_1	1
nevir_q_305-3_2	nevir_doc_305-3_2	1
nevir_q_306-2_2	nevir_doc_306-2_2	1
nevir_q_307-3_1	nevir_doc_307-3_1	1
nevir_q_309-3_1	nevir_doc_309-3_1	1
nevir_q_31-2_2	nevir_doc_31-2_2	1
