query_id	gold_hotel_id	expected_wrong_hotel_id	bm25_top1	bm25_top1_score	bm25_top5
hotel_adv_001	217627	121981	121981	9.8524	121981:9.85;649058:9.44;217627:5.85;107856:5.49;675842:4.78
hotel_adv_002	217627	121981	121981	15.5248	121981:15.52;649058:6.68;217627:3.20;675842:2.75;1200768:2.75
hotel_adv_003	247108	107856	107856	9.2441	107856:9.24;217627:7.02;649058:5.73;2154898:4.91;121981:3.30
hotel_adv_004	247108	107856	107856	6.9582	107856:6.96;121981:6.69;286988:6.05;217627:5.64;2154898:5.08
hotel_adv_005	247108	286988	286988	9.0017	286988:9.00;247108:8.15;675842:6.29;107856:3.99;1200768:3.92
hotel_adv_006	675842	107856	107856	4.8166	107856:4.82;91577:3.58;675842:3.32;286988:2.21;217627:2.03
hotel_adv_007	1200768	286988	286988	6.4812	286988:6.48;217627:6.12;675842:3.76;2154898:3.47;91577:3.35
hotel_adv_008	2154898	1200768	1200768	5.1391	1200768:5.14;247108:4.14;217627:3.70;107856:3.68;286988:2.27
hotel_adv_009	91577	247108	247108	6.2409	247108:6.24;91577:5.27;1200768:4.75;286988:4.15;107856:2.92
hotel_adv_010	247108	91577	91577	7.3475	91577:7.35;286988:6.78;1200768:5.95;2154898:4.79;247108:4.60
hotel_adv_011	247108	675842	675842	13.3323	675842:13.33;107856:5.47;2154898:5.30;649058:5.19;286988:4.70
hotel_adv_012	286988	107856	107856	5.9750	107856:5.97;121981:4.39;286988:4.33;2154898:3.28;1200768:2.52
hotel_adv_013	217627	121981	121981	16.3368	121981:16.34;649058:13.35;217627:8.67;2154898:3.53;675842:3.41
hotel_adv_014	247108	91577	91577	5.5203	91577:5.52;286988:5.18;121981:3.00;649058:3.00;2154898:2.95
hotel_adv_015	2154898	107856	107856	6.8420	107856:6.84;1200768:2.77;91577:2.75;217627:2.64;2154898:2.48
hotel_adv_016	247108	107856	107856	12.4715	107856:12.47;247108:6.57;649058:5.65;217627:5.02;91577:5.01
hotel_adv_017	1200768	286988	286988	8.3810	286988:8.38;1200768:7.21;675842:4.26;2154898:4.23;91577:3.51
hotel_adv_018	247108	675842	675842	7.4749	675842:7.47;121981:5.16;649058:4.71;107856:4.20;286988:3.84
hotel_adv_019	675842	121981	121981	10.8958	121981:10.90;1200768:6.10;649058:3.73;675842:3.29;217627:2.37
hotel_adv_020	675842	2154898	2154898	12.8874	2154898:12.89;286988:9.54;675842:7.14;1200768:6.89;217627:5.79
