query-id	corpus-id	score
hotel_adv_001	217627	2
hotel_adv_001	121981	-1
hotel_adv_001	649058	-1
hotel_adv_002	217627	2
hotel_adv_002	121981	-1
hotel_adv_003	247108	2
hotel_adv_003	107856	-1
hotel_adv_004	247108	2
hotel_adv_004	107856	-1
hotel_adv_004	675842	-1
hotel_adv_005	247108	2
hotel_adv_005	286988	-1
hotel_adv_005	675842	-1
hotel_adv_006	675842	2
hotel_adv_006	107856	-1
hotel_adv_006	649058	-1
hotel_adv_007	1200768	2
hotel_adv_007	286988	-1
hotel_adv_007	217627	-1
hotel_adv_007	121981	-1
hotel_adv_008	2154898	2
hotel_adv_008	1200768	-1
hotel_adv_008	107856	-1
hotel_adv_009	91577	2
hotel_adv_009	247108	-1
hotel_adv_009	1200768	-1
hotel_adv_010	247108	2
hotel_adv_010	91577	-1
hotel_adv_010	2154898	-1
hotel_adv_011	247108	2
hotel_adv_011	675842	-1
hotel_adv_012	286988	2
hotel_adv_012	107856	-1
hotel_adv_012	121981	-1
hotel_adv_013	217627	2
hotel_adv_013	121981	-1
hotel_adv_013	649058	-1
hotel_adv_014	247108	2
hotel_adv_014	91577	-1
hotel_adv_014	286988	-1
hotel_adv_015	2154898	2
hotel_adv_015	107856	-1
hotel_adv_016	247108	2
hotel_adv_016	107856	-1
hotel_adv_017	1200768	2
hotel_adv_017	286988	-1
hotel_adv_018	247108	2
hotel_adv_018	675842	-1
hotel_adv_019	675842	2
hotel_adv_019	121981	-1
hotel_adv_019	1200768	-1
hotel_adv_020	675842	2
hotel_adv_020	2154898	-1
