query-id	corpus-id	score
excluir_q_0	excluir_doc_47432	1
excluir_q_7	excluir_doc_25704	1
excluir_q_17	excluir_doc_38246	1
excluir_q_18	excluir_doc_44243	1
excluir_q_19	excluir_doc_58965	1
excluir_q_20	excluir_doc_12135	1
excluir_q_21	excluir_doc_70842	1
excluir_q_25	excluir_doc_65063	1
excluir_q_27	excluir_doc_22358	1
excluir_q_28	excluir_doc_24979	1
excluir_q_30	excluir_doc_14756	1
excluir_q_31	excluir_doc_59341	1
excluir_q_35	excluir_doc_2593	1
excluir_q_36	excluir_doc_22637	1
excluir_q_40	excluir_doc_59700	1
excluir_q_43	excluir_doc_15423	1
excluir_q_44	excluir_doc_52190	1
excluir_q_48	excluir_doc_47948	1
excluir_q_52	excluir_doc_8332	1
excluir_q_55	excluir_doc_25076	1
excluir_q_67	excluir_doc_76986	1
excluir_q_69	excluir_doc_44454	1
excluir_q_72	excluir_doc_86417	1
excluir_q_73	excluir_doc_12916	1
excluir_q_76	excluir_doc_63594	1
excluir_q_81	excluir_doc_33595	1
excluir_q_94	excluir_doc_47341	1
excluir_q_95	excluir_doc_37193	1
excluir_q_98	excluir_doc_23393	1
excluir_q_123	excluir_doc_25298	1
excluir_q_124	excluir_doc_7828	1
excluir_q_125	excluir_doc_42877	1
excluir_q_141	excluir_doc_89191	1
excluir_q_144	excluir_doc_74679	1
excluir_q_145	excluir_doc_21113	1
excluir_q_146	excluir_doc_33445	1
excluir_q_148	excluir_doc_36073	1
excluir_q_155	excluir_doc_46857	1
excluir_q_160	excluir_doc_43992	1
excluir_q_165	excluir_doc_78243	1
excluir_q_170	excluir_doc_7621	1
excluir_q_183	excluir_doc_76685	1
excluir_q_195	excluir_doc_66439	1
excluir_q_196	excluir_doc_54593	1
excluir_q_199	excluir_doc_42704	1
excluir_q_201	excluir_doc_55272	1
excluir_q_203	excluir_doc_20134	1
excluir_q_209	excluir_doc_3259	1
excluir_q_215	excluir_doc_61974	1
excluir_q_218	excluir_doc_11468	1
excluir_q_230	excluir_doc_51300	1
excluir_q_236	excluir_doc_58645	1
excluir_q_242	excluir_doc_35066	1
excluir_q_247	excluir_doc_69266	1
excluir_q_252	excluir_doc_22303	1
excluir_q_257	excluir_doc_20559	1
excluir_q_259	excluir_doc_85646	1
excluir_q_270	excluir_doc_36892	1
excluir_q_272	excluir_doc_9492	1
excluir_q_275	excluir_doc_553	1
excluir_q_287	excluir_doc_25872	1
excluir_q_304	excluir_doc_69345	1
excluir_q_319	excluir_doc_30727	1
excluir_q_320	excluir_doc_31980	1
excluir_q_321	excluir_doc_72663	1
excluir_q_324	excluir_doc_24319	1
excluir_q_333	excluir_doc_19043	1
excluir_q_334	excluir_doc_14437	1
excluir_q_336	excluir_doc_80809	1
excluir_q_340	excluir_doc_55364	1
excluir_q_342	excluir_doc_10586	1
excluir_q_346	excluir_doc_24976	1
excluir_q_357	excluir_doc_15431	1
excluir_q_361	excluir_doc_14600	1
excluir_q_363	excluir_doc_13836	1
excluir_q_364	excluir_doc_34648	1
excluir_q_365	excluir_doc_17873	1
excluir_q_366	excluir_doc_59498	1
excluir_q_367	excluir_doc_89470	1
excluir_q_377	excluir_doc_73161	1
excluir_q_380	excluir_doc_44016	1
excluir_q_387	excluir_doc_31395	1
excluir_q_389	excluir_doc_15443	1
excluir_q_394	excluir_doc_65184	1
excluir_q_395	excluir_doc_76608	1
excluir_q_399	excluir_doc_33030	1
excluir_q_400	excluir_doc_23272	1
excluir_q_414	excluir_doc_26233	1
excluir_q_422	excluir_doc_58057	1
excluir_q_426	excluir_doc_39285	1
excluir_q_445	excluir_doc_30501	1
excluir_q_448	excluir_doc_1557	1
excluir_q_455	excluir_doc_12705	1
excluir_q_462	excluir_doc_85019	1
excluir_q_478	excluir_doc_12658	1
excluir_q_480	excluir_doc_22035	1
excluir_q_490	excluir_doc_7275	1
excluir_q_499	excluir_doc_21721	1
excluir_q_502	excluir_doc_87662	1
excluir_q_503	excluir_doc_3535	1
excluir_q_520	excluir_doc_12583	1
excluir_q_526	excluir_doc_54940	1
excluir_q_528	excluir_doc_84514	1
excluir_q_529	excluir_doc_58076	1
excluir_q_530	excluir_doc_64842	1
excluir_q_531	excluir_doc_86304	1
excluir_q_534	excluir_doc_17985	1
excluir_q_537	excluir_doc_14648	1
excluir_q_545	excluir_doc_86538	1
excluir_q_548	excluir_doc_27131	1
excluir_q_553	excluir_doc_85956	1
excluir_q_561	excluir_doc_29757	1
excluir_q_564	excluir_doc_1306	1
excluir_q_565	excluir_doc_4587	1
excluir_q_567	excluir_doc_59390	1
excluir_q_568	excluir_doc_70973	1
excluir_q_569	excluir_doc_47395	1
excluir_q_573	excluir_doc_13656	1
excluir_q_578	excluir_doc_39232	1
excluir_q_588	excluir_doc_9630	1
excluir_q_595	excluir_doc_87447	1
excluir_q_598	excluir_doc_78193	1
excluir_q_599	excluir_doc_15711	1
excluir_q_602	excluir_doc_9012	1
excluir_q_615	excluir_doc_21231	1
excluir_q_619	excluir_doc_29042	1
excluir_q_628	excluir_doc_18652	1
excluir_q_637	excluir_doc_7469	1
excluir_q_645	excluir_doc_61173	1
excluir_q_650	excluir_doc_29954	1
excluir_q_659	excluir_doc_4066	1
excluir_q_662	excluir_doc_8369	1
excluir_q_684	excluir_doc_71529	1
excluir_q_704	excluir_doc_11800	1
excluir_q_710	excluir_doc_34019	1
excluir_q_723	excluir_doc_2101	1
excluir_q_726	excluir_doc_10124	1
excluir_q_727	excluir_doc_38617	1
excluir_q_728	excluir_doc_29628	1
excluir_q_729	excluir_doc_83816	1
excluir_q_730	excluir_doc_36445	1
excluir_q_732	excluir_doc_52429	1
excluir_q_733	excluir_doc_79169	1
excluir_q_736	excluir_doc_83206	1
excluir_q_747	excluir_doc_20096	1
excluir_q_762	excluir_doc_70838	1
excluir_q_769	excluir_doc_44418	1
excluir_q_773	excluir_doc_8174	1
excluir_q_781	excluir_doc_4717	1
excluir_q_794	excluir_doc_12149	1
excluir_q_797	excluir_doc_1841	1
excluir_q_798	excluir_doc_28497	1
excluir_q_800	excluir_doc_55155	1
excluir_q_801	excluir_doc_13169	1
excluir_q_803	excluir_doc_23211	1
excluir_q_818	excluir_doc_10916	1
excluir_q_824	excluir_doc_12966	1
excluir_q_830	excluir_doc_15612	1
excluir_q_834	excluir_doc_36191	1
excluir_q_835	excluir_doc_31786	1
excluir_q_839	excluir_doc_1769	1
excluir_q_842	excluir_doc_27941	1
excluir_q_843	excluir_doc_8487	1
excluir_q_850	excluir_doc_5567	1
excluir_q_852	excluir_doc_24544	1
excluir_q_854	excluir_doc_82373	1
excluir_q_861	excluir_doc_65690	1
excluir_q_863	excluir_doc_7359	1
excluir_q_865	excluir_doc_52509	1
excluir_q_883	excluir_doc_18784	1
excluir_q_885	excluir_doc_66798	1
excluir_q_887	excluir_doc_25422	1
excluir_q_888	excluir_doc_63010	1
excluir_q_904	excluir_doc_4053	1
excluir_q_908	excluir_doc_17954	1
excluir_q_912	excluir_doc_11856	1
excluir_q_916	excluir_doc_55136	1
excluir_q_917	excluir_doc_37858	1
excluir_q_927	excluir_doc_63650	1
excluir_q_934	excluir_doc_7078	1
excluir_q_939	excluir_doc_26022	1
excluir_q_949	excluir_doc_35016	1
excluir_q_964	excluir_doc_46660	1
excluir_q_966	excluir_doc_47155	1
excluir_q_973	excluir_doc_76892	1
excluir_q_975	excluir_doc_36969	1
